epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,22849.6,1.31404,0.81115,1.05413,0.81468,0.83182,0.87588,0.54525,1.30879,0.71875,1.0496,0.000231213,0.000231213,0.000231213
89,23112.2,1.31679,0.8103,1.05527,0.80646,0.83468,0.87525,0.5477,1.3059,0.71772,1.04816,0.00021471,0.00021471,0.00021471
90,23378.8,1.31742,0.80724,1.05226,0.81549,0.82638,0.87417,0.54562,1.30417,0.7178,1.04762,0.000198206,0.000198206,0.000198206
91,23619.9,1.32385,0.7588,1.07874,0.80773,0.84378,0.8764,0.54521,1.31262,0.71943,1.0522,0.000181703,0.000181703,0.000181703
92,23863.5,1.30511,0.74362,1.07234,0.81351,0.83135,0.87619,0.54349,1.31255,0.72154,1.05305,0.0001652,0.0001652,0.0001652
93,24104.2,1.29532,0.73796,1.06813,0.80697,0.83708,0.87526,0.54471,1.31369,0.71991,1.05325,0.000148696,0.000148696,0.000148696
94,24340.9,1.2959,0.72952,1.06651,0.82042,0.82487,0.87445,0.54433,1.31398,0.7183,1.05439,0.000132193,0.000132193,0.000132193
95,24580.5,1.29595,0.73217,1.07003,0.81507,0.83451,0.8759,0.54425,1.31206,0.71494,1.05401,0.00011569,0.00011569,0.00011569
96,24819,1.28696,0.73053,1.06551,0.80906,0.83843,0.87621,0.54649,1.30868,0.71247,1.053,9.91865e-05,9.91865e-05,9.91865e-05
97,25053.8,1.28387,0.72328,1.06447,0.81465,0.8334,0.87796,0.54557,1.30949,0.71298,1.05311,8.26832e-05,8.26832e-05,8.26832e-05
98,25290.6,1.28079,0.72116,1.06278,0.8226,0.82201,0.8768,0.54475,1.31336,0.71286,1.05474,6.61799e-05,6.61799e-05,6.61799e-05
99,25532.5,1.27449,0.71809,1.05958,0.81827,0.82479,0.87643,0.54423,1.31409,0.71242,1.05502,4.96766e-05,4.96766e-05,4.96766e-05
100,25768.5,1.2715,0.71617,1.05874,0.815,0.8278,0.87736,0.54489,1.31324,0.71164,1.05491,3.31733e-05,3.31733e-05,3.31733e-05
